ID,Composition,Predicted_Energy,Uncertainty,Fitness_Score,Status
0,"{'Mo': 0.019077396434350483, 'Cu': 0.9809226035656495}",0.3566,0.0000,0.7371,Analyzed
1,"{'Mo': 0.38988064910249326, 'Cu': 0.6101193508975066}",-1.8449,0.0000,0.3515,Analyzed
2,"{'Mo': 0.2948678972707023, 'Cu': 0.7051321027292976}",-0.4571,0.0000,0.6863,Analyzed
3,"{'Mo': 0.3617932470281509, 'Cu': 0.638206752971849}",-1.2758,0.0000,0.4394,Analyzed
4,"{'Mo': 0.03824251983414414, 'Cu': 0.9617574801658559}",0.4057,0.0000,0.7114,Analyzed
5,"{'Cu': 0.6196326042977259, 'Mo': 0.380367395702274}",-1.9099,0.0000,0.3437,Analyzed
6,"{'Mo': 0.26873089093444397, 'Cu': 0.731269109065556}",-0.9226,0.0000,0.5201,Analyzed
7,"{'Mo': 0.4525188070692956, 'Cu': 0.5474811929307043}",-0.8575,0.0000,0.5384,Analyzed
8,"{'Mo': 0.0840660360940453, 'Cu': 0.9159339639059547}",0.3867,0.0000,0.7211,Analyzed
9,"{'Cu': 0.5434365692435351, 'Mo': 0.45656343075646494}",-2.2506,0.0000,0.3076,Analyzed
10,"{'Mo': 0.21159276619956702, 'Cu': 0.788407233800433}",-0.0913,0.0000,0.9163,Analyzed
11,"{'Mo': 0.4574444844098322, 'Cu': 0.5425555155901678}",-2.1997,0.0000,0.3125,Analyzed
12,"{'Mo': 0.16677281503364436, 'Cu': 0.8332271849663557}",-0.1930,0.0000,0.8382,Analyzed
13,"{'Cu': 0.8640211415385267, 'Mo': 0.1359788584614732}",-0.3281,0.0000,0.7530,Analyzed
14,"{'Cu': 0.6437113999624111, 'Mo': 0.35628860003758894}",-1.1520,0.0000,0.4647,Analyzed
