ID,Composition,Predicted_Energy,Uncertainty,Fitness_Score,Status
0,"{'Cu': 0.664984061118344, 'Mo': 0.3350159388816562}",-0.7235,0.0000,0.5802,Analyzed
1,"{'Cu': 0.7359111226714358, 'Mo': 0.26408887732856423}",0.4957,0.0000,0.6686,Analyzed
2,"{'Mo': 0.49314870841878017, 'Cu': 0.5068512915812198}",-1.0988,0.0000,0.4765,Analyzed
3,"{'Mo': 0.41218798827921665, 'Cu': 0.5878120117207832}",-1.1269,0.0000,0.4702,Analyzed
4,"{'Cu': 0.6654838868404175, 'Mo': 0.3345161131595825}",-1.1625,0.0000,0.4624,Analyzed
5,"{'Mo': 0.40463680676791636, 'Cu': 0.5953631932320836}",-1.1803,0.0000,0.4586,Analyzed
6,"{'Cu': 0.8884196992371015, 'Mo': 0.11158030076289849}",0.0307,0.0000,0.9703,Analyzed
7,"{'Cu': 0.6084542909652902, 'Mo': 0.39154570903470975}",-1.1599,0.0000,0.4630,Analyzed
8,"{'Mo': 0.06237690783291502, 'Cu': 0.9376230921670851}",0.3439,0.0000,0.7441,Analyzed
