ID,Composition,Predicted_Energy,Uncertainty,Fitness_Score,Status
0,"{'Mo': 0.2855348662981086, 'Cu': 0.7144651337018915}",-0.4793,0.0000,0.6760,Analyzed
1,"{'Mo': 0.44829743801668265, 'Cu': 0.5517025619833174}",-2.0136,0.0000,0.3318,Analyzed
2,"{'Mo': 0.2528860691513221, 'Cu': 0.7471139308486778}",-0.5331,0.0000,0.6523,Analyzed
3,"{'Cu': 0.8220524232216331, 'Mo': 0.17794757677836698}",-0.2930,0.0000,0.7734,Analyzed
4,"{'Cu': 0.6966867055269045, 'Mo': 0.3033132944730955}",-0.9694,0.0000,0.5078,Analyzed
5,"{'Mo': 0.40115949780331034, 'Cu': 0.5988405021966896}",-0.4326,0.0000,0.6980,Analyzed
6,"{'Mo': 0.09150701474431895, 'Cu': 0.9084929852556811}",-0.0080,0.0000,0.9920,Analyzed
7,"{'Mo': 0.06936731361844108, 'Cu': 0.9306326863815589}",0.3941,0.0000,0.7173,Analyzed
8,"{'Mo': 0.33204122916689544, 'Cu': 0.6679587708331046}",-1.4754,0.0000,0.4040,Analyzed
9,"{'Mo': 0.3876932507490079, 'Cu': 0.612306749250992}",-1.0493,0.0000,0.4880,Analyzed
