ID,Composition,Predicted_Energy,Uncertainty,Fitness_Score,Status
0,"{'Mo': 0.2607840886047461, 'Fe': 0.3348990347665361, 'Cu': 0.40431687662871796}",-1.5456,0.0000,0.3928,Analyzed
1,"{'Mo': 0.037478770688510236, 'Cu': 0.046573243958512284, 'Ni': 0.9159479853529775}",-0.1534,0.0000,0.8670,Analyzed
2,"{'Mo': 0.034576956307180155, 'Ni': 0.588717120853672, 'Cu': 0.37670592283914794}",0.0599,0.0000,0.9435,Analyzed
3,"{'Cu': 0.42778995818876275, 'Ni': 0.31312440293198973, 'Fe': 0.2590856388792474}",-0.1701,0.0000,0.8546,Analyzed
4,"{'Ni': 0.8477883612619396, 'Cu': 0.023143868142885757, 'Fe': 0.12906777059517469}",-0.2091,0.0000,0.8271,Analyzed
5,"{'Mo': 0.07835259545779891, 'Fe': 0.4158429550195596, 'Ni': 0.5058044495226416}",0.1261,0.0000,0.8880,Analyzed
6,"{'Mo': 0.030393158665003837, 'Ni': 0.7684183240326562, 'Fe': 0.20118851730234}",-0.1238,0.0000,0.8898,Analyzed
7,"{'Fe': 0.0728688868942342, 'Ni': 0.6450429312675273, 'Mo': 0.2820881818382384}",-0.5019,0.0000,0.6658,Analyzed
