id,composition,energy,uncertainty,timestamp
gen1_cand10,"{""Fe"": 0.006015352556056079, ""Ni"": 0.9939846474439439}",0.03897782490764587,0.05455345573425294,20260101_154711
gen2_cand6,"{""Ni"": 0.9844145370959828, ""Fe"": 0.015585462904017106}",0.040192784811053275,0.054527581357955934,20260101_154711
gen3_cand4,"{""Ni"": 0.82540875965283, ""Fe"": 0.1745912403471699}",0.029535118831103713,0.05572028222084045,20260101_154711
gen4_cand16,"{""Ni"": 0.999097296300193, ""Fe"": 0.0009027036998070771}",0.02952731475404933,0.05353151919841767,20260101_154711
gen5_cand16,"{""Fe"": 0.018163244610801467, ""Ni"": 0.9818367553891986}",0.03866280978784214,0.0535737312078476,20260101_154711
gen1_cand8,"{""Cu"": 0.5226480409479176, ""Mo"": 0.4773519590520824}",0.029382329014095425,0.055955044054985054,20260101_162208
gen2_cand2,"{""Cu"": 0.5448226614639616, ""Mo"": 0.4551773385360384}",0.034298612623211155,0.05546613397598267,20260101_162208
gen3_cand15,"{""Cu"": 0.5148809968914551, ""Mo"": 0.48511900310854494}",0.02803508881830212,0.05558509888648987,20260101_162208
gen4_cand6,"{""Mo"": 0.4414339393058545, ""Cu"": 0.5585660606941455}",0.04506621888257994,0.055269420766830446,20260101_162208
gen5_cand6,"{""Mo"": 0.47237712874363824, ""Cu"": 0.5276228712563618}",0.039450708226665125,0.05577007296085358,20260101_162208
gen1_cand5,"{""Fe"": 0.012158412011528954, ""Ca"": 0.9878415879884711}",0.03938394830403404,0.050535119199752815,20260105_231213
gen2_cand5,"{""Ca"": 0.9782808369258733, ""Fe"": 0.021719163074126694}",0.026169570616992377,0.05092578294277192,20260105_231213
gen3_cand8,"{""Ca"": 0.9122676069273767, ""Fe"": 0.08773239307262336}",0.05086772438336674,0.05118077757358551,20260105_231213
gen4_cand18,"{""Fe"": 0.09297129939165337, ""Ca"": 0.9070287006083467}",0.05073260316320302,0.05174806180000305,20260105_231213
gen5_cand8,"{""Fe"": 0.07104634663087186, ""Ca"": 0.9289536533691283}",0.05290179069211318,0.051518941545486446,20260105_231213
gen1_cand15,"{""Ni"": 0.8342049843291579, ""Fe"": 0.16579501567084223}",0.04209424955656242,0.055975822234153746,20260105_231631
gen2_cand9,"{""Fe"": 0.08084568167210322, ""Ni"": 0.9191543183278968}",0.038710147313361275,0.055671787881851204,20260105_231631
gen3_cand3,"{""Ni"": 0.8906240943457131, ""Fe"": 0.10937590565428681}",0.03354064734888824,0.05592657389640808,20260105_231631
gen4_cand14,"{""Fe"": 0.02015090837638279, ""Ni"": 0.9798490916236173}",0.03746367932907055,0.05575109186172486,20260105_231631
gen5_cand18,"{""Fe"": 0.010269347335807122, ""Ni"": 0.9897306526641928}",0.03446511951195746,0.05572119417190552,20260105_231631
gen1_cand18,"{""Au"": 0.0030556054657769035, ""Cu"": 0.9969443945342232}",0.029488839495709296,0.038128339028358466,20260105_233621
gen2_cand10,"{""Cu"": 0.3130766578420928, ""Au"": 0.6869233421579071}",0.04034638226884811,0.020029966248571875,20260105_233621
gen3_cand3,"{""Au"": 0.9354752115276984, ""Cu"": 0.06452478847230157}",0.04642529166075275,0.04061412128210068,20260105_233621
